id,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
1,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:50,06:15,07h 25m,INR 411,14 Seats available,4.6758,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
2,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:40,05:45,07h 05m,INR 372,12 Seats available,4.6556,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
3,FRESHBUS,Electric A/C Seater (2+2),21:20,04:05,06h 45m,INR 500,31 Seats available,4.6552,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
4,Sri Sahasra Tours and Travels,A/C Seater / Sleeper (2+1),20:45,05:30,08h 45m,INR 499,30 Seats available,4.072,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
5,Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),20:45,06:00,09h 15m,INR 450,18 Seats available,4.2208,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
6,APSRTC - 3324,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:00,23:30,04h 30m,INR 281,31 Seats available,3.55,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
7,APSRTC - 24275,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:20,22:50,03h 30m,INR 281,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
8,APSRTC - 27133,METRO LUXURY A/C,19:40,22:45,03h 05m,INR 383,25 Seats available,4.471,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
9,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),17:50,00:30,06h 40m,INR 550,12 Seats available,4.028,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
10,Sai Balaji Travels,A/C Seater / Sleeper (2+1),17:50,23:55,06h 05m,INR 599,20 Seats available,3.8,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
