id,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,Chandigarh Transport Undertaking (CTU) - 165697,HVAC Seater (2+3),14:00,19:35,05h 35m,INR 414.3,46 Seats available,"4.2
46",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
1,Chandigarh Transport Undertaking (CTU) - 165709,HVAC Seater (2+3),14:30,20:05,05h 35m,INR 414.3,47 Seats available,"3.8
39",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
2,Chandigarh Transport Undertaking (CTU) - 165720,HVAC Seater (2+3),15:30,21:05,05h 35m,INR 414.3,47 Seats available,"3.7
39",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
3,Chandigarh Transport Undertaking (CTU) - 165722,HVAC Seater (2+3),16:30,22:05,05h 35m,INR 414.3,45 Seats available,"3.3
36",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
4,Chandigarh Transport Undertaking (CTU) - 165724,HVAC Seater (2+3),17:00,22:35,05h 35m,INR 414.3,47 Seats available,"3.9
14",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
5,Chandigarh Transport Undertaking (CTU) - 165726,HVAC Seater (2+3),17:30,23:05,05h 35m,INR 414.3,47 Seats available,"3.7
16",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
6,RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,21:15,02:00,04h 45m,INR 691,37 Seats available,"3.2
5",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
7,NueGo,Electric A/C Seater (2+2),12:15,17:30,05h 15m,333,17 Seats available,"3.6
341",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
8,NueGo,Electric A/C Seater/Sleeper (2+1),13:00,18:30,05h 30m,333,20 Seats available,4,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
9,AdKhurana Bus Service,Volvo A/C (2+2),21:10,02:15,05h 05m,INR 500,39 Seats available,"3.8
50",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
10,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),13:00,19:00,06h 00m,INR 450,14 Seats available,"4.1
26",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
11,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),13:40,19:00,05h 20m,INR 450,18 Seats available,"4.5
336",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
12,NueGo,Electric A/C Seater (2+2),14:30,20:00,05h 30m,333,37 Seats available,"3.1
358",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
13,NueGo,Electric A/C Seater (2+2),15:30,21:00,05h 30m,333,36 Seats available,"3.7
315",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
14,NueGo,Electric A/C Seater (2+2),16:30,21:55,05h 25m,333,40 Seats available,"3.5
311",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
15,NueGo,Electric A/C Seater (2+2),17:30,22:55,05h 25m,333,34 Seats available,"4.1
404",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
16,RSRTC - 183801,Express Non AC Seater 2+3,15:30,21:00,05h 30m,INR 320,42 Seats available,3.6,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
17,NueGo,Electric A/C Seater (2+2),12:15,17:05,04h 50m,419,4 Seats available,"3.6
334",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
18,NueGo,Electric A/C Seater (2+2),14:30,19:35,05h 05m,333,31 Seats available,"3.3
345",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
19,AdAwadh Travels,A/C Sleeper (2+2),19:10,00:30,05h 20m,1109,46 Seats available,3.8,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
20,NueGo,Electric A/C Seater (2+2),15:30,20:35,05h 05m,333,35 Seats available,"3.5
358",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
21,NueGo,Electric A/C Seater (2+2),16:30,21:55,05h 25m,333,38 Seats available,"3.2
189",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
22,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:00,23:05,06h 05m,INR 400,36 Seats available,"4.4
165",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
23,City Land Travels,Volvo A/C Semi Sleeper (2+2),17:00,23:00,06h 00m,585,30 Seats available,"3.8
5",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
24,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),17:00,22:50,05h 50m,475,19 Seats available,"4.6
313",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
