id,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,04:15,10h 16m,INR 512,27 Seats available,"2.5
5",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
1,HRTC - 538,Ordinary 3+2 Non AC Seater,18:31,05:30,10h 59m,INR 512,27 Seats available,"4.6
7",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
2,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,04:45,09h 10m,INR 912,13 Seats available,"3.6
39",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
3,HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,05:30,09h 47m,INR 512,26 Seats available,"4.5
4",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
4,HRTC - 556,Ordinary 3+2 Non AC Seater,20:10,05:45,09h 35m,INR 512,21 Seats available,"4.5
10",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
5,HRTC - 591,A/C Executive (2+3),21:00,07:20,10h 20m,INR 632,41 Seats available,"3.7
45",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
6,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,06:30,09h 28m,INR 912,10 Seats available,"4.7
86",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
7,HRTC - 570,Ordinary 3+2 Non AC Seater,21:25,06:45,09h 20m,INR 512,37 Seats available,"2.6
8",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
8,HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,21:36,05:30,07h 54m,INR 887,13 Seats available,"4.0
66",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
9,HRTC - 518,Ordinary 3+2 Non AC Seater,21:58,07:15,09h 17m,INR 512,27 Seats available,"2.5
13",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
10,HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,22:00,07:30,09h 30m,INR 912,26 Seats available,"4.7
72",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
11,HRTC - 579,Ordinary 3+2 Non AC Seater,22:30,08:15,09h 45m,INR 512,27 Seats available,"4.1
15",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
12,HRTC - 36,Himsuta AC Seater Volvo/Scania 2+2,22:30,06:30,08h 00m,INR 887,17 Seats available,"4.2
78",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
13,HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,23:00,07:50,08h 50m,INR 912,27 Seats available,"4.4
90",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
14,HRTC - 564,Ordinary 3+2 Non AC Seater,23:40,09:05,09h 25m,INR 512,37 Seats available,"4.4
22",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
15,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:50,07:40,09h 50m,750,15 Seats available,"4.2
341",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
16,Laxmi holidays,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:25,07:45,08h 20m,759,8 Seats available,"4.5
671",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
17,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),22:50,07:40,08h 50m,759,3 Seats available,"4.2
313",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
18,Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:55,09:05,10h 10m,605,7 Seats available,"4.4
462",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
