id,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,00:50,08h 48m,INR 567,3 Seats available,"2.4
21",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
1,KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),16:16,01:20,09h 04m,INR 640,4 Seats available,"4.1
9",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
2,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,04:24,09h 20m,INR 640,21 Seats available,"4.2
44",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
3,KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,04:25,08h 25m,INR 473,8 Seats available,"3.4
70",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
4,KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:31,05:36,09h 05m,INR 640,15 Seats available,"3.9
53",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
5,MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,INR 750,24 Seats available,"4.4
517",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
6,National travels and logistics,A/C Sleeper (2+1),22:45,07:00,08h 15m,849,13 Seats available,"4.4
23",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
7,P K Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 800,23 Seats available,"4.3
12",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
8,AdSURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:00,07:30,10h 30m,600,22 Seats available,"3.5
151",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
9,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,INR 599,36 Seats available,"4.2
348",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
10,KSRTC (Kerala) - 2810,Super Fast Non AC Seater (2+3),15:25,21:05,05h 40m,INR 269,14 Seats available,"2.1
6",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
11,KSRTC (Kerala) - 720,Super Fast Non AC Seater (2+3),15:40,21:15,05h 35m,INR 269,15 Seats available,"2.7
17",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
