id,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,FRESHBUS,Electric A/C Seater (2+2),21:50,05:35,07h 45m,530,12 Seats available,"4.5
502",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
1,FRESHBUS,Electric A/C Seater (2+2),23:10,06:30,07h 20m,530,19 Seats available,"4.5
425",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
2,Nan,Nan,0,0,0,0,0,0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
3,Nan,Nan,0,0,0,0,0,0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
4,Nan,Nan,0,0,0,0,0,0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
5,TSRTC - 8677,Super Luxury (Non AC Seater 2+2 Push Back),19:30,23:40,04h 10m,INR 320,31 Seats available,"4.0
23",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
6,TGSRTC - 64022,RAJADHANI AC (CONVERTED METRO LUXURY),19:30,00:15,04h 45m,INR 389,32 Seats available,"3.0
24",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
7,TSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),21:00,01:00,04h 00m,INR 389,35 Seats available,"3.5
52",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
8,Nan,Nan,0,0,0,0,0,0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
9,Nan,Nan,0,0,0,0,0,0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
10,Nan,Nan,0,0,0,0,0,0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
11,Nan,Nan,0,0,0,0,0,0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
12,Nan,Nan,0,0,0,0,0,0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
13,Nan,Nan,0,0,0,0,0,0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
14,Nan,Nan,0,0,0,0,0,0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
15,Siri Tours and Travels,A/C Seater / Sleeper (2+1),18:55,00:30,05h 35m,INR 555,19 Seats available,"4.4
7",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
