id,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),22:15,04:15,06h 00m,759,27 Seats available,"4.4
91",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
1,New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,03:30,06h 30m,INR 450,40 Seats available,"1.8
43",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
2,Rahul Travels,AshokLeyland Stile A/C,21:00,02:00,05h 00m,INR 699,26 Seats available,"1.9
6",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
3,FlixBus,AC Seater (2+2),23:35,05:00,05h 25m,INR 209.44,34 Seats available,"4.5
31",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
4,SHRI RAM TRAVELS,A/C Seater (2+2),23:59,05:15,05h 16m,INR 740,18 Seats available,"3.9
22",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5,FlixBus,Bharat Benz A/C Seater (2+2),17:15,22:25,05h 10m,INR 250.8,38 Seats available,"5.0
7",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
6,New Khaira Transport,A/C Seater / Sleeper (2+1),20:40,03:30,06h 50m,630,8 Seats available,"3.1
11",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
7,New Khaira TPT,AC Sleeper (2+1),20:30,02:50,06h 20m,INR 900,27 Seats available,"3.3
14",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
8,Jaiswal Tour and Travels,A/C Seater/Sleeper (2+1),20:30,02:30,06h 00m,INR 700,52 Seats available,"1.3
6",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
9,Rahul Travels,AshokLeyland Stile A/C,21:30,02:30,05h 00m,INR 699,30 Seats available,1.9,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
10,FlixBus,AC Seater (2+2),15:00,20:15,05h 15m,INR 258.72,27 Seats available,"4.1
11",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
11,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),23:59,05:55,05h 56m,807,34 Seats available,"4.5
63",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
12,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),17:00,23:20,06h 20m,INR 649,22 Seats available,"3.2
88",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
13,FlixBus,Bharat Benz A/C Seater (2+2),23:50,05:05,05h 15m,INR 228.8,19 Seats available,"3.7
18",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
14,New Khaira Transport,A/C Seater / Sleeper (2+1),23:45,05:00,05h 15m,675,5 Seats available,"3.4
30",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
15,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),20:00,02:10,06h 10m,INR 749,27 Seats available,"3.2
52",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
16,New Khaira Transport,A/C Seater / Sleeper (2+2),23:30,06:00,06h 30m,495,19 Seats available,"2.1
64",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
17,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),20:00,02:10,06h 10m,INR 549,25 Seats available,3.2,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
18,New Khaira TPT,AC Sleeper (2+1),23:15,05:00,05h 45m,INR 900,21 Seats available,"3.3
34",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
19,New Khaira Transport,A/C Seater / Sleeper (2+2),23:50,06:50,07h 00m,630,24 Seats available,"2.5
19",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
20,UPSRTC - BDV0083,Ordinary Non AC Seater 2+3,08:28,11:48,03h 20m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
21,UPSRTC - ALI0006,Janrath AC Seater 2+3,08:30,12:00,03h 30m,INR 263,45 Seats available,"3.9
21",https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
22,UPSRTC - ALI0174,Janrath AC Seater 2+2,09:29,12:30,03h 01m,INR 304,32 Seats available,"2.3
4",https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
23,UPSRTC - KSN0048,Janrath AC Seater 2+2,10:00,13:40,03h 40m,INR 333,36 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
24,UPSRTC - BDV0173,Janrath AC Seater 2+2,10:29,13:29,03h 00m,INR 304,36 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
25,UPSRTC - MHB0187,Rajdhani Non AC Seater 2+3,10:30,14:24,03h 54m,INR 261,51 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
26,UPSRTC - BDV0473,Janrath AC Seater 2+3,11:00,14:00,03h 00m,INR 263,48 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
27,UPSRTC - BDV0087,Ordinary Non AC Seater 2+3,11:28,14:48,03h 20m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
28,UPSRTC - BSP0002,Ordinary Non AC Seater 2+3,11:30,15:00,03h 30m,INR 224,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
29,UPSRTC - MHB0266,Ordinary Non AC Seater 2+3,11:30,15:24,03h 54m,INR 261,52 Seats available, ,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
30,Chaturvedi Bus Service,A/C Seater/Sleeper (2+1),21:45,02:00,04h 15m,INR 600,42 Seats available,0,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
31,UPSRTC - PNG0153,Rajdhani Non AC Seater 2+3,07:55,21:00,13h 05m,INR 825,51 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
32,UPSRTC - BRT0064,Ordinary Non AC Seater 2+3,08:00,21:00,13h 00m,INR 820,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
33,UPSRTC - LNI0556,Ordinary Non AC Seater 2+3,08:02,17:52,09h 50m,INR 853,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
34,UPSRTC - SBD0044,Pink Express AC Seater 2+2,08:30,17:30,09h 00m,INR 1180,39 Seats available,"3.1
36",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
35,UPSRTC - SBD0546,Pink Express AC Seater 2+2,08:31,18:01,09h 30m,INR 1180,41 Seats available, ,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
36,UPSRTC - BRT0065,Ordinary Non AC Seater 2+3,09:00,22:00,13h 00m,INR 820,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
37,UPSRTC - KSB0069,Janrath AC Seater 2+2,11:01,19:30,08h 29m,INR 1151,36 Seats available,"3.9
4",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
