id,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,WBTC (CTC) HABRA-DIGHA via Bally - 26|10:00,Non AC Seater (2+3),10:00,14:45,04h 45m,INR 161,48 Seats available,"3.4
47",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
1,"WBTC (CTC) BARASAT-DIGHA via Esplanade, Karunamoyee,Airport - 206|10:15",Non AC Seater (2+3),10:15,15:35,05h 20m,INR 165,47 Seats available,"3.0
4",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
2,WBTC (CTC) HABRA-DIGHA via Bally - 26|10:40,Non AC Seater (2+3),10:40,15:25,04h 45m,INR 161,34 Seats available,"3.2
37",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
3,WBTC (CTC) Barasat-Digha Via Bally (AC VOLVO) - 201|11:15,Volvo AC Seater (2+2),11:15,15:05,03h 50m,INR 410,14 Seats available,"4.8
7",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
4,WBTC (CTC) HABRA-DIGHA via Bally - 26|11:30,Non AC Seater (2+3),11:30,16:15,04h 45m,INR 161,44 Seats available,"2.9
25",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
5,WBTC (CTC) HABRA - DIGHA (AC-VOLVO) - 89|12:30,Volvo AC Seater (2+2),12:30,16:15,03h 45m,INR 410,9 Seats available,"4.1
98",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
6,WBTC (CTC) HABRA-DIGHA via Bally - 26|12:50,Non AC Seater (2+3),12:50,17:35,04h 45m,INR 161,47 Seats available,"3.3
33",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
7,WBTC (CTC) BARASAT-DIGHA (AC-VOLVO) - 28|13:10,Volvo AC Seater (2+2),13:10,18:55,05h 45m,INR 425,18 Seats available,"2.7
7",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
8,WBTC (CTC) HABRA-DIGHA via Bally - 26|13:25,Non AC Seater (2+3),13:25,18:10,04h 45m,INR 161,44 Seats available,"3.0
34",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
9,WBTC (CTC) Barasat-Digha Via Bally (AC VOLVO) - 201|14:00,Volvo AC Seater (2+2),14:00,18:00,04h 00m,INR 410,7 Seats available,"4.5
38",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
10,"WBTC (CTC) BARASAT-DIGHA via Esplanade, Karunamoyee,Airport - 206|14:15",Non AC Seater (2+3),14:15,19:15,05h 00m,INR 165,43 Seats available,3.4,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
11,WBTC (CTC) HABRA-DIGHA via Bally - 26|14:50,Non AC Seater (2+3),14:50,19:35,04h 45m,INR 161,42 Seats available,"3.5
49",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
12,WBTC (CTC) MADHYAMGRAM - DIGHA via Belghoria - 130|16:00,Non AC Seater (2+3),16:00,21:05,05h 05m,INR 161,39 Seats available,"1.9
26",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
13,Snemita Parisheba(Santosh),AC Seater (2+3),11:30,16:20,04h 50m,INR352,24 Seats available,"3.1
23",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
14,City Express,AC Seater (2+3),11:35,16:56,05h 21m,INR 370,22 Seats available,"3.5
21",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
15,Snemita Paribahan,AC Seater (2+3),11:35,17:10,05h 35m,INR 370,6 Seats available,"4.0
7",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
16,Satya Paribahan,A/C Executive (2+3),11:50,17:30,05h 40m,INR 380,19 Seats available,"3.4
16",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
17,SANTOSH BUS SERVICE,A/C Seater (2+3),11:25,16:30,29h 05m,INR 315,2 Seats available,0,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
18,SBSTC-ASANSOL - KARUNAMOYEE - A/C - 06:45 (ASN DEPOT) - 1131,AC Seater (2+2),08:00,12:00,04h 00m,INR 300,13 Seats available,"3.9
136",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
19,SBSTC-DURGAPUR - KOLKATA - 08:00 (DGP DEPOT) - 128,Non AC Seater (2+3),08:00,11:30,03h 30m,INR 150,52 Seats available,"3.4
50",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
20,SBSTC-CHITTARANJAN - HALDIA - VIA - KOLKATA - 05:40 - 199,Non AC Seater (2+3),08:20,13:30,05h 10m,INR 150,50 Seats available,"2.9
13",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
21,SBSTC-ASANSOL - KARUNAMOYEE - 07:35 (ASN DEPOT) - 152,Non AC Seater (2+3),08:45,12:45,04h 00m,INR 155,42 Seats available,"2.5
48",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
22,SBSTC-BANKURA - KOLKATA - 07:05 (BNK DEPOT) - 223,Non AC Seater (2+3),08:50,12:20,03h 30m,INR 150,42 Seats available,"3.1
7",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
23,SBSTC-ASANSOL - KOLKATA - 07:50 (ASANSOL DEPOT) - 144,Non AC Seater (2+3),09:00,12:30,03h 30m,INR 150,52 Seats available,"3.6
23",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
24,SBSTC-ASANSOL - HALDIA - VIA - KOLKATA - 08:05 (HLD DEPO - 744,Non AC Seater (2+3),09:15,14:45,05h 30m,INR 150,51 Seats available,3.5,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
25,SBSTC-BANKURA - KARUNAMOYEE - 07:30 (BNK DEPOT) - 237,Non AC Seater (2+3),09:20,13:20,04h 00m,INR 155,31 Seats available,"4.2
60",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
26,SBSTC-DURGAPUR - KOLKATA - 09:30 (DGP DEPOT) - 129,Non AC Seater (2+3),09:30,13:00,03h 30m,INR 150,52 Seats available,"3.9
23",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
27,SBSTC-PURULIA-KOLKATA -06:10 (VIA ASN) PRL DEPOT - 200,Non AC Seater (2+3),09:45,13:15,03h 30m,INR 150,51 Seats available,3.5,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
28,SBSTC-ASANSOL - KARUNAMOYEE - 08:35 (ASN DEPOT) - 153,Non AC Seater (2+3),09:55,13:55,04h 00m,INR 155,45 Seats available,"3.9
59",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
29,SBSTC-ASANSOL - BELDA - VIA - KOLKATA - 08:50 (ASN DEPOT - 3989,Non AC Seater (2+3),10:00,16:00,06h 00m,INR 150,52 Seats available,3.5,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
30,SBSTC-PURULIA - KOLKATA - VIA - BNK - 06:30 (HWH DEPOT) - 834,Non AC Seater (2+3),10:20,13:50,03h 30m,INR 150,50 Seats available,"4.4
10",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
31,SBSTC-ASANSOL - BONGAON - VIA - HABRA - 09:25 (ASN DEPOT - 1350,Non AC Seater (2+3),10:35,14:05,03h 30m,INR 155,43 Seats available,"4.3
6",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
32,SBSTC-BAGMUNDI - KOLKATA - 05:00 (BEL DEPOT) - 764,Non AC Seater (2+3),10:50,14:20,03h 30m,INR 150,52 Seats available,"2.5
6",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
33,SHYAMOLI Pvt. Ltd.(Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),07:25,10:40,03h 15m,INR 486,11 Seats available,"4.0
265",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
34,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),07:30,10:45,03h 15m,INR 486,3 Seats available,"3.9
102",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
35,Greenline (Karunamoyee),Volvo 9600 A/C Semi Sleeper (2+2),07:50,11:50,04h 00m,INR 486,18 Seats available,"4.6
206",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
36,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),08:00,11:30,03h 30m,INR 486,27 Seats available,"3.9
89",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
37,Greenline,Volvo 9600 Multi Axle Semi-Sleeper (2+2),08:10,11:00,02h 50m,INR 486,22 Seats available,"4.2
121",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
38,SBSTC-DIGHA - KOLKATA - 07:40 (KALNA DEPOT) - 3825,Non AC Seater (2+3),07:40,12:10,04h 30m,INR 155,52 Seats available,"2.6
11",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
39,SBSTC-DIGHA - KOLKATA - 08:00 (ARM DEPOT) - 720,Non AC Seater (2+3),08:00,12:30,04h 30m,INR 155,45 Seats available,"3.8
22",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
40,SBSTC-DIGHA - GARIA - VIA - CONTAI - 08:10 - 507,Non AC Seater (2+3),08:10,13:40,05h 30m,INR 162,52 Seats available,"4.2
20",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
41,SBSTC-DIGHA - KOLKATA - 08:35 (MID DEPOT) - 3157,Non AC Seater (2+3),08:35,13:05,04h 30m,INR 155,51 Seats available,"3.2
17",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
42,SBSTC-DIGHA - GARIA - 09:25 (DIGHA DEPOT) - 3753,Non AC Seater (2+3),09:25,13:55,04h 30m,INR 155,44 Seats available,"3.3
36",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
43,SBSTC-DIGHA - HABRA - 10:00 (DIG DEPOT) - 3700,Non AC Seater (2+3),10:00,14:30,04h 30m,INR 155,51 Seats available,"3.8
13",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
44,SBSTC-DIGHA - BARASAT - 10:20 - 508,Non AC Seater (2+3),10:20,14:50,04h 30m,INR 155,47 Seats available,"3.3
19",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
45,SBSTC-DIGHA - GARIA - 10:30 (DIGHA DEPOT) - 2680,Non AC Seater (2+3),10:30,16:00,05h 30m,INR 162,43 Seats available,"4.0
23",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
46,SBSTC-DIGHA - BELGHARIA - 10:40 (BEL DEPOT) - 1363,Non AC Seater (2+3),10:40,15:40,05h 00m,INR 155,52 Seats available,"3.1
20",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
